"data_description.id","data_description.name","data_description.description","data_description.access_date","data_description.temporal_start","data_description.temporal_end","data_description.contact_id","data_description.url","data_description.identifiant","data_description.availability","data_description.citation"
"0001","Federal Marine Bioregions","The spatial planning framework for Canada's national network of Marine Protected Areas (MPAs) is comprised of 13 ecologically defined bioregions that cover Canada's oceans and the Great Lakes.","2021-06-24",2016,2021,"0030","https://open.canada.ca/data/en/dataset/23eb8b56-dac8-4efc-be7c-b8fa11ba62e9","23eb8b56-dac8-4efc-be7c-b8fa11ba62e9","open source","DFO. 2009. Development of a Framework and Principles for the Biogeographic Classification of Canadian Marine Areas. DFO Can. Sci. Advis. Sec. Sci. Advis. Rep. 2009/056 (http://www.dfo-mpo.gc.ca/csas-sccs/publications/sar-as/2009/2009_056-eng.htm)"
"0001","Federal Marine Bioregions","The spatial planning framework for Canada's national network of Marine Protected Areas (MPAs) is comprised of 13 ecologically defined bioregions that cover Canada's oceans and the Great Lakes.","2021-06-24",2016,2021,"0030","https://open.canada.ca/data/en/dataset/23eb8b56-dac8-4efc-be7c-b8fa11ba62e9","23eb8b56-dac8-4efc-be7c-b8fa11ba62e9","open source","DFO. 2010. Proceedings of a National Science Advisory Process to Provide Guidance on the Development of a Framework and Principles for the Biogeographic Classification of Canadian Marine Areas; 15-16 June 2009. DFO Can. Sci. Advis. Sec. Proceed. Ser. 2009/039. (http://www.dfo-mpo.gc.ca/csas-sccs/publications/pro-cr/2009/2009_039-eng.htm)"
"0001","Federal Marine Bioregions","The spatial planning framework for Canada's national network of Marine Protected Areas (MPAs) is comprised of 13 ecologically defined bioregions that cover Canada's oceans and the Great Lakes.","2021-06-24",2016,2021,"0030","https://open.canada.ca/data/en/dataset/23eb8b56-dac8-4efc-be7c-b8fa11ba62e9","23eb8b56-dac8-4efc-be7c-b8fa11ba62e9","open source","National Framework for Canada's Network of Marine Protected Areas (http://www.dfo-mpo.gc.ca/oceans/publications/mpanf-cnzpm/page01-eng.html)"
"0002","Study grid","Gridded study area used jointly with N. Kelly and G. Murphy for the Maritimes region","2021-08-11",NA,NA,"0015",NA,NA,"available","TO DO"
"0002","Study grid","Gridded study area used jointly with N. Kelly and G. Murphy for the Maritimes region","2021-08-11",NA,NA,"0016",NA,NA,"available","TO DO"
"0003","Commercial fisheries","A compilation of landing data from Zonal Interchange File Format (ZIFF) data between 2000 and 2020","2021-06-11",2000,2020,"0032",NA,NA,"data sharing agreement","Fisheries and Oceans Canada (2021). Departement of Fisheries and Oceans Canada’s Fisheries and Oceans Canada Zonal Interchange File Format (ZIFF) data. A compilation of landing data from logbook data between 2000 and 2020. [Data accessed 2021-06-11]"
"0003","Commercial fisheries","A compilation of landing data from Zonal Interchange File Format (ZIFF) data between 2000 and 2020","2021-06-11",2000,2020,"0033",NA,NA,"data sharing agreement","Fisheries and Oceans Canada (2021). Departement of Fisheries and Oceans Canada’s Fisheries and Oceans Canada Zonal Interchange File Format (ZIFF) data. A compilation of landing data from logbook data between 2000 and 2020. [Data accessed 2021-06-11]"
"0003","Commercial fisheries","A compilation of landing data from Zonal Interchange File Format (ZIFF) data between 2000 and 2020","2021-06-11",2000,2020,"0034",NA,NA,"data sharing agreement","Fisheries and Oceans Canada (2021). Departement of Fisheries and Oceans Canada’s Fisheries and Oceans Canada Zonal Interchange File Format (ZIFF) data. A compilation of landing data from logbook data between 2000 and 2020. [Data accessed 2021-06-11]"
"0004","Gear type index for commercial fisheries (id: 0003)","Gear type index for Zonal Interchange File Format (ZIFF) data between 2000 and 2020","2021-07-15",2000,2020,"0032",NA,NA,"data sharing agreement","Fisheries and Oceans Canada (2021). Index of fishing gears in departement of Fisheries and Oceans Canada’s Fisheries and Oceans Canada Zonal Interchange File Format (ZIFF) data. A compilation of landing data from logbook data between 2000 and 2020. [Data accessed 2021-07-15]"
"0004","Gear type index for commercial fisheries (id: 0003)","Gear type index for Zonal Interchange File Format (ZIFF) data between 2000 and 2020","2021-07-15",2000,2020,"0033",NA,NA,"data sharing agreement","Fisheries and Oceans Canada (2021). Index of fishing gears in departement of Fisheries and Oceans Canada’s Fisheries and Oceans Canada Zonal Interchange File Format (ZIFF) data. A compilation of landing data from logbook data between 2000 and 2020. [Data accessed 2021-07-15]"
"0004","Gear type index for commercial fisheries (id: 0003)","Gear type index for Zonal Interchange File Format (ZIFF) data between 2000 and 2020","2021-07-15",2000,2020,"0034",NA,NA,"data sharing agreement","Fisheries and Oceans Canada (2021). Index of fishing gears in departement of Fisheries and Oceans Canada’s Fisheries and Oceans Canada Zonal Interchange File Format (ZIFF) data. A compilation of landing data from logbook data between 2000 and 2020. [Data accessed 2021-07-15]"
"0005","Species index for commercial fisheries (id: 0003)","Species index for Zonal Interchange File Format (ZIFF) data between 2000 and 2020","2021-06-11",2000,2020,"0032",NA,NA,"data sharing agreement","Fisheries and Oceans Canada (2021). Index of species in departement of Fisheries and Oceans Canada’s Fisheries and Oceans Canada Zonal Interchange File Format (ZIFF) data. A compilation of landing data from logbook data between 2000 and 2020. [Data accessed 2021-07-15]"
"0005","Species index for commercial fisheries (id: 0003)","Species index for Zonal Interchange File Format (ZIFF) data between 2000 and 2020","2021-06-11",2000,2020,"0033",NA,NA,"data sharing agreement","Fisheries and Oceans Canada (2021). Index of species in departement of Fisheries and Oceans Canada’s Fisheries and Oceans Canada Zonal Interchange File Format (ZIFF) data. A compilation of landing data from logbook data between 2000 and 2020. [Data accessed 2021-07-15]"
"0005","Species index for commercial fisheries (id: 0003)","Species index for Zonal Interchange File Format (ZIFF) data between 2000 and 2020","2021-06-11",2000,2020,"0034",NA,NA,"data sharing agreement","Fisheries and Oceans Canada (2021). Index of species in departement of Fisheries and Oceans Canada’s Fisheries and Oceans Canada Zonal Interchange File Format (ZIFF) data. A compilation of landing data from logbook data between 2000 and 2020. [Data accessed 2021-07-15]"
"0006","Oceans Act Marine Protected Areas","Fisheries and Oceans Canada has a number of Marine Protected Areas designated under the Oceans Act and Areas of Interest for new Marine Protected Areas at various stages of progress towards designation. These areas are ecologically significant, with species and/or properties that require special management consideration.","2021-08-12",2016,2021,"0030","https://open.canada.ca/data/en/dataset/a1e18963-25dd-4219-a33f-1a38c4971250","a1e18963-25dd-4219-a33f-1a38c4971250","open source","Fisheries and Oceans Canada (2021) Oceans Act Marine Protected Areas. url: https://open.canada.ca/data/en/dataset/a1e18963-25dd-4219-a33f-1a38c4971250"
